22.14  PRINCIPALES INDICADORES DE LA CAPACIDAD DE ALOJAMIENTO DE LOS ESTABLECIMIENTOS;;;;;;;;22.14  PRINCIPALES INDICADORES DE LA CAPACIDAD DE ALOJAMIENTO DE LOS ESTABLECIMIENTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
           DE HOSPEDAJE, SEGÚN CATEGORÍA, 2018-2022;;;;;;;;            DE HOSPEDAJE, SEGÚN CATEGORÍA, 2018-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Conclusión;;;;;;;;;;;;;;;;;;;;;;;;;;;
Categoría;Número de Arribos;;;;Número de Pernoctaciones;;;Categoría;Permanencia promedio 1/;;;;Tasa Neta de Ocupación ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Nacionales;Extranjeros;;Total;Nacionales;Extranjeros;;Total;Nacionales;Extranjeros;;Habitaciones;Camas;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albergue; 218 271; 85 002; 133 269;; 399 516; 145 701; 253 815;Albergue;1.8;1.7;1.9;;24.7;22.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecolodge; 1 960;  654; 1 306;; 3 986; 1 466; 2 520;Ecolodge;2.0;2.2;1.9;;15.1;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
No Categorizados;39 843 332;37 506 924;2 336 408;;47 852 860;44 102 472;3 750 388;No Categorizado;1.2;1.2;1.6;;22.2;38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Continúa…;1/ La permanencia promedio, es una aproximación de la cantidad de noches que en promedio los huéspedes permanecen en los establecimientos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;     de hospedaje y corresponde a un cociente entre pernoctaciones y arribos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Fuente: Ministerio de Comercio Exterior y Turismo - Encuesta Mensual de Turismo para Establecimientos de Hospedaje. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
