;2018;2019;2020;2021;2022;2023;
Trimestre 1; 1 069; 1 106;  882;  134;  487;  713;
Trimestre 2; 1 085; 1 160;  26;  158;  712;  835;
Trimestre 3; 1 220; 1 270;  26;  290;  871; 1 031;
Trimestre 4; 1 131; 1 168;  69;  460;  868;;
Total; 4 505; 4 704; 1 003; 1 042; 2 938; 2 579;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
